section	key	srcproj	tgtproj	params
CSV	proj4-epsg.csv:00816	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00817	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00818	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00819	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00820	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00821	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00822	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00823	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00824	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00825	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00826	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00827	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00828	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00829	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00830	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00831	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
CSV	proj4-epsg.csv:00832	longlat	tmerc	datum,ellps,k,lat_0,lon_0,no_defs,proj,towgs84,units,x_0,y_0
